number,pokemon_name,type_main,type_sub,height,weight,generation,bmi,description_main,description_sub,category,ability_main,ability_sub,weaknesses,hp,attack,defense,sp.atk,sp.def,speed,total,evolutions,evolution_type,hidden_ability,evolution_list_index
433,Chingling,Psychic,,0.2,0.6,4.0,15.0,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries.","There is an orb inside its mouth. When it hops, the orb bounces all over and makes a ringing sound.",Bell,Levitate,,"['Ghost', 'Dark', 'Bug']",45.0,30.0,50.0,65.0,50.0,45.0,285.0,"['Chingling', 'Chimecho']",2 stages evolution,,"['433', '358']"
434,Stunky,Poison,Dark,0.4,19.2,4.0,120.0,"From its rear, it sprays a foul-smelling liquid at opponents. It aims for their faces, and it can hit them from over 16 feet away.","If it lifts its tail and points its rear at you, beware. It’s about to spray you with a fluid stinky enough to make you faint.",Skunk,Stench,Aftermath,['Ground'],63.0,63.0,47.0,41.0,41.0,74.0,329.0,"['Stunky', 'Skuntank']",2 stages evolution,Keen Eye,"['434', '435']"
435,Skuntank,Poison,Dark,1.0,38.0,4.0,38.0,"In its belly, it reserves stinky fluid that it shoots from its tail during battle. As this Pokémon’s diet varies, so does the stench of its fluid.",It digs holes in the ground to make its nest. The stench of the fluid it lets fly from the tip of its tail is extremely potent.,Skunk,Stench,Aftermath,['Ground'],103.0,93.0,67.0,71.0,61.0,84.0,479.0,"['Stunky', 'Skuntank']",2 stages evolution,Keen Eye,"['434', '435']"
436,Bronzor,Steel,Psychic,0.5,60.5,4.0,242.0,"It appears in ancient ruins. The pattern on its body doesn’t come from any culture in the Galar region, so it remains shrouded in mystery.","Polishing Bronzor to a shine makes its surface reflect the truth, according to common lore. Be that as it may, Bronzor hates being polished.",Bronze,Levitate,Heatproof,"['Ghost', 'Fire', 'Dark', 'Ground']",57.0,24.0,86.0,24.0,86.0,23.0,300.0,"['Bronzor', 'Bronzong']",2 stages evolution,Heavy Metal,"['436', '437']"
437,Bronzong,Steel,Psychic,1.3,187.0,4.0,110.7,"Some believe it to be a deity that summons rain clouds. When angered, it lets out a warning cry that rings out like the tolling of a bell.","Many scientists suspect that this Pokémon originated outside the Galar region, based on the patterns on its body.",Bronze Bell,Levitate,Heatproof,"['Ghost', 'Fire', 'Dark', 'Ground']",67.0,89.0,116.0,79.0,116.0,33.0,500.0,"['Bronzor', 'Bronzong']",2 stages evolution,Heavy Metal,"['436', '437']"
438,Bonsly,Rock,,0.5,15.0,4.0,60.0,"It expels both sweat and tears from its eyes. The sweat is a little salty, while the tears have a slight bitterness.","This Pokémon lives in dry, rocky areas. As its green spheres dry out, their dull luster increases.",Bonsai,Rock Head,Sturdy,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']",50.0,80.0,95.0,10.0,45.0,10.0,290.0,"['Bonsly', 'Sudowoodo']",2 stages evolution,Rattled,"['438', '185']"
440,Happiny,Normal,,0.6,24.4,4.0,67.8,"Mimicking Chansey, Happiny will place an egg- shaped stone in its belly pouch. Happiny will treasure this stone.","Happiny’s willing to lend its precious round stone to those it’s friendly with, but if the stone isn’t returned, Happiny will cry and throw a tantrum.",Playhouse,Natural Cure,Serene Grace,['Fighting'],100.0,5.0,5.0,15.0,65.0,30.0,220.0,"['Happiny', 'Chansey', 'Blissey']",3 stages evolution,Friend Guard,"['440', '113', '242']"
441,Chatot,Normal,Flying,0.5,1.9,4.0,7.6,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.,"It can learn and speak human words. If they gather, they all learn the same saying.",Music Note,Keen Eye,Tangled Feet,"['Electric', 'Ice', 'Rock']",76.0,65.0,45.0,92.0,42.0,91.0,411.0,,No evolution,Big Pecks,
442,Spiritomb,Ghost,Dark,1.0,108.0,4.0,108.0,Exactly 108 spirits gathered to become this Pokémon. Apparently there are some ill-natured spirits in the mix.,All Spiritomb’s mischief and misdeeds compelled a traveler to use a mysterious spell to bind Spiritomb to an odd keystone.,Forbidden,Pressure,,['Fairy'],50.0,92.0,108.0,92.0,108.0,35.0,485.0,,No evolution,Infiltrator,
443,Gible,Dragon,Ground,0.7,20.5,4.0,41.8,"Gible prefers to stay in narrow holes in the sides of caves heated by geothermal energy. This way, Gible can stay warm even during a blizzard.","Gible attacks anything that moves, and it drags whatever it catches into the crevice that is its lair. Despite the big mouth, Gible’s stomach is small.",Land Shark,Sand Veil,,"['Fairy', 'Dragon']",58.0,70.0,45.0,40.0,45.0,42.0,300.0,"['Gible', 'Gabite', 'Garchomp']",3 stages evolution,Rough Skin,"['443', '444', '445']"
444,Gabite,Dragon,Ground,1.4,56.0,4.0,28.6,This Pokémon emits ultrasonic waves from a protrusion on either side of its head to probe pitch-dark caves.,"Jewels are buried in the caves these Pokémon nest in, but you’ll be torn apart by claws and fangs the moment you enter one of these caves.",Cave,Sand Veil,,"['Fairy', 'Dragon']",68.0,90.0,65.0,50.0,55.0,82.0,410.0,"['Gible', 'Gabite', 'Garchomp']",3 stages evolution,Rough Skin,"['443', '444', '445']"
445,Garchomp,Dragon,Ground,1.9,95.0,4.0,26.3,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can.",Garchomp is fast both underground and above. It can bring down prey and return to its den before its body has chilled from being outside.,Mach,Sand Veil,,"['Fairy', 'Dragon']",108.0,130.0,95.0,80.0,85.0,102.0,600.0,"['Gible', 'Gabite', 'Garchomp']",3 stages evolution,Rough Skin,"['443', '444', '445']"
446,Munchlax,Normal,,0.6,105.0,4.0,291.7,"Stuffing itself with vast amounts of food is its only concern. Whether the food is rotten or fresh, yummy or tasteless—it does not care.","It stores food beneath its fur. It might share just one bite, but only if it really trusts you.",Big Eater,Pickup,Thick Fat,['Fighting'],135.0,85.0,40.0,40.0,85.0,5.0,390.0,"['Munchlax', 'Snorlax']",2 stages evolution,Gluttony,"['446', '143']"
447,Riolu,Fighting,,0.7,20.2,4.0,41.2,"It’s exceedingly energetic, with enough stamina to keep running all through the night. Taking it for walks can be a challenging experience.",It can use waves called auras to gauge how others are feeling. These same waves can also tell this Pokémon about the state of the environment.,Emanation,Inner Focus,Steadfast,"['Psychic', 'Flying', 'Fairy']",40.0,70.0,40.0,35.0,40.0,60.0,285.0,"['Riolu', 'Lucario']",2 stages evolution,Prankster,"['447', '448']"
448,Lucario,Fighting,Steel,1.2,54.0,4.0,37.5,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey.",It can tell what people are thinking. Only Trainers who have justice in their hearts can earn this Pokémon’s trust.,Aura,Inner Focus,Steadfast,"['Fire', 'Fighting', 'Ground']",70.0,110.0,70.0,115.0,70.0,90.0,525.0,"['Riolu', 'Lucario']",2 stages evolution,Justified,"['447', '448']"
449,Hippopotas,Ground,,0.8,49.5,4.0,77.3,"It moves through the sands with its mouth open, swallowing sand along with its prey. It gets rid of the sand by spouting it from its nose.",This Pokémon is active during the day and passes the cold desert nights burrowed snugly into the sand.,Hippo,Sand Stream,,"['Water', 'Grass', 'Ice']",68.0,72.0,78.0,38.0,42.0,32.0,330.0,"['Hippopotas', 'Hippowdon']",2 stages evolution,Sand Force,"['449', '450']"
450,Hippowdon,Ground,,2.0,300.0,4.0,75.0,"Stones can get stuck in the ports on their bodies. Dwebble help dislodge such stones, so Hippowdon look after these Pokémon.","When roused to violence by its rage, it spews out the quantities of sand it has swallowed and whips up a sandstorm.",Heavyweight,Sand Stream,,"['Water', 'Grass', 'Ice']",108.0,112.0,118.0,68.0,72.0,47.0,525.0,"['Hippopotas', 'Hippowdon']",2 stages evolution,Sand Force,"['449', '450']"
451,Skorupi,Poison,Bug,0.8,12.0,4.0,18.8,"After burrowing into the sand, it waits patiently for prey to come near. This Pokémon and Sizzlipede share common descent.","It attacks using the claws on its tail. Once locked in its grip, its prey is unable to move as this Pokémon’s poison seeps in.",Scorpion,Sniper,Battle Armor,"['Fire', 'Psychic', 'Flying', 'Rock']",40.0,50.0,90.0,30.0,55.0,65.0,330.0,"['Skorupi', 'Drapion']",2 stages evolution,Keen Eye,"['451', '452']"
452,Drapion,Poison,Dark,1.3,61.5,4.0,36.4,"Its poison is potent, but it rarely sees use. This Pokémon prefers to use physical force instead, going on rampages with its car-crushing strength.","It’s so vicious that it’s called the Sand Demon. Yet when confronted by Hippowdon, Drapion keeps a low profile and will never pick a fight.",Ogre Scorpion,Sniper,Battle Armor,['Ground'],70.0,90.0,110.0,60.0,75.0,95.0,500.0,"['Skorupi', 'Drapion']",2 stages evolution,Keen Eye,"['451', '452']"
453,Croagunk,Poison,Fighting,0.7,23.0,4.0,46.9,"It makes frightening noises with its poison-filled cheek sacs. When opponents flinch, Croagunk hits them with a poison jab.","Once diluted, its poison becomes medicinal. This Pokémon came into popularity after a pharmaceutical company chose it as a mascot.",Toxic Mouth,Dry Skin,Anticipation,"['Flying', 'Ground']",48.0,61.0,40.0,61.0,40.0,50.0,300.0,"['Croagunk', 'Toxicroak']",2 stages evolution,Poison Touch,"['453', '454']"
454,Toxicroak,Poison,Fighting,1.3,44.4,4.0,26.3,It bounces toward opponents and gouges them with poisonous claws. No more than a scratch is needed to knock out its adversaries.,It booms out a victory croak when its prey goes down in defeat. This Pokémon and Seismitoad are related species.,Toxic Mouth,Dry Skin,Anticipation,"['Flying', 'Ground']",83.0,106.0,65.0,86.0,65.0,85.0,490.0,"['Croagunk', 'Toxicroak']",2 stages evolution,Poison Touch,"['453', '454']"
455,Carnivine,Grass,,1.4,27.0,4.0,13.8,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,Bug Catcher,Levitate,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",74.0,100.0,72.0,90.0,72.0,46.0,454.0,,No evolution,,
456,Finneon,Water,,0.4,7.0,4.0,43.8,"When night falls, their pink patterns begin to shine. They’re popular with divers, so there are resorts that feed them to keep them close.",It lures in prey with its shining tail fins. It stays near the surface during the day and moves to the depths when night falls.,Wing Fish,Swift Swim,Storm Drain,"['Grass', 'Electric']",49.0,49.0,56.0,49.0,61.0,66.0,330.0,"['Finneon', 'Lumineon']",2 stages evolution,Water Veil,"['456', '457']"
457,Lumineon,Water,,1.2,24.0,4.0,16.7,"Deep down at the bottom of the ocean, prey is scarce. Lumineon get into fierce disputes with Lanturn over food.",They traverse the deep waters as if crawling over the seafloor. The fantastic lights of its fins shine like stars in the night sky.,Neon,Swift Swim,Storm Drain,"['Grass', 'Electric']",69.0,69.0,76.0,69.0,86.0,91.0,460.0,"['Finneon', 'Lumineon']",2 stages evolution,Water Veil,"['456', '457']"
458,Mantyke,Water,Flying,1.0,65.0,4.0,65.0,Mantyke living in Galar seem to be somewhat sluggish. The colder waters of the seas in this region may be the cause.,"It swims along with a school of Remoraid, and they’ll all fight together to repel attackers.",Kite,Water Absorb,Swift Swim,['Rock'],45.0,20.0,50.0,60.0,120.0,50.0,345.0,"['Mantyke', 'Mantine']",2 stages evolution,Water Veil,"['458', '226']"
459,Snover,Grass,Ice,1.0,50.5,4.0,50.5,It lives on snowy mountains. It sinks its legs into the snow to absorb water and keep its own temperature down.,The berries that grow around its belly are like ice pops. Galarian Darumaka absolutely love these berries.,Frost Tree,Snow Warning,,"['Steel', 'Flying', 'Poison', 'Fighting', 'Rock', 'Bug']",60.0,62.0,50.0,62.0,60.0,40.0,334.0,"['Snover', 'Abomasnow']",2 stages evolution,Soundproof,"['459', '460']"
460,Abomasnow,Grass,Ice,2.2,135.5,4.0,28.0,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers.",This Pokémon is known to bring blizzards. A shake of its massive body is enough to cause whiteout conditions.,Frost Tree,Snow Warning,,"['Steel', 'Flying', 'Poison', 'Fighting', 'Rock', 'Bug']",90.0,92.0,75.0,92.0,85.0,60.0,494.0,"['Snover', 'Abomasnow']",2 stages evolution,Soundproof,"['459', '460']"
461,Weavile,Dark,Ice,1.1,34.0,4.0,28.1,They attack their quarry in packs. Prey as large as Mamoswine easily fall to the teamwork of a group of Weavile.,"With its claws, it leaves behind signs for its friends to find. The number of distinct signs is said to be over 500.",Sharp Claw,Pressure,,"['Steel', 'Fire', 'Rock', 'Fairy', 'Bug']",70.0,120.0,65.0,45.0,85.0,125.0,510.0,"['Sneasel', 'Weavile']",2 stages evolution,Pickpocket,"['215', '461']"
462,Magnezone,Electric,Steel,1.2,180.0,4.0,125.0,Some say that Magnezone receives signals from space via the antenna on its head and that it’s being controlled by some mysterious being.,"It’s thought that a special magnetic field changed the molecular structure of this Pokémon’s body, and that’s what caused the Pokémon’s evolution.",Magnet Area,Sturdy,Magnet Pull,"['Fire', 'Fighting']",70.0,70.0,115.0,130.0,90.0,60.0,535.0,"['Magnemite', 'Magneton', 'Magnezone']",3 stages evolution,Analytic,"['081', '082', '462']"
463,Lickilicky,Normal,,1.7,140.0,4.0,48.4,Lickilicky’s strange tongue can stretch to many times the length of its body. No one has figured out how Lickilicky’s tongue can stretch so far.,"Lickilicky can do just about anything with its tongue, which is as dexterous as the human hand. In contrast, Lickilicky’s use of its fingers is clumsy.",Licking,Oblivious,Own Tempo,['Fighting'],110.0,85.0,95.0,80.0,95.0,50.0,515.0,"['Lickitung', 'Lickilicky']",2 stages evolution,Cloud Nine,"['108', '463']"
464,Rhyperior,Ground,Rock,2.4,282.8,4.0,49.1,It can load up to three projectiles per arm into the holes in its hands. What launches out of those holes could be either rocks or Roggenrola.,"It relies on its carapace to deflect incoming attacks and throw its enemy off balance. As soon as that happens, it drives its drill into the foe.",Drill,Lightning Rod,Solid Rock,"['Steel', 'Ice', 'Fighting', 'Ground']",115.0,140.0,130.0,55.0,55.0,40.0,535.0,"['Rhyhorn', 'Rhydon', 'Rhyperior']",3 stages evolution,Reckless,"['111', '112', '464']"
465,Tangrowth,Grass,,2.0,128.6,4.0,32.2,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines.","Vine growth is accelerated for Tangrowth living in warm climates. If the vines grow long, Tangrowth shortens them by tearing parts of them off.",Vine,Chlorophyll,Leaf Guard,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",100.0,100.0,125.0,110.0,50.0,50.0,535.0,"['Tangela', 'Tangrowth']",2 stages evolution,Regenerator,"['114', '465']"
466,Electivire,Electric,,1.8,138.6,4.0,42.8,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,"In terms of electrical-energy output, Electivire is one of the best among all Electric Pokémon. It discharges high-voltage currents from its tails.",Thunderbolt,Motor Drive,,['Ground'],75.0,123.0,67.0,95.0,85.0,95.0,540.0,"['Elekid', 'Electabuzz', 'Electivire']",3 stages evolution,Vital Spirit,"['239', '125', '466']"
467,Magmortar,Fire,,1.6,68.0,4.0,26.6,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",Living in the crater of a volcano has caused this Pokémon’s body to resemble its environment— it has an organ similar to a magma chamber.,Blast,Flame Body,,"['Water', 'Ground', 'Rock']",75.0,95.0,67.0,125.0,95.0,83.0,540.0,"['Magby', 'Magmar', 'Magmortar']",3 stages evolution,Vital Spirit,"['240', '126', '467']"
468,Togekiss,Fairy,Flying,1.5,38.0,4.0,16.9,"These Pokémon are never seen anywhere near conflict or turmoil. In recent times, they’ve hardly been seen at all.","Known as a bringer of blessings, it’s been depicted on good-luck charms since ancient times.",Jubilee,Serene Grace,Hustle,"['Steel', 'Poison', 'Electric', 'Ice', 'Rock']",85.0,50.0,95.0,120.0,115.0,80.0,545.0,"['Togepi', 'Togetic', 'Togekiss']",3 stages evolution,Super Luck,"['175', '176', '468']"
469,Yanmega,Bug,Flying,1.9,51.5,4.0,14.3,It prefers to battle by biting apart foes’ heads instantly while flying by at high speed.,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,Ogre Darner,Tinted Lens,Speed Boost,"['Fire', 'Flying', 'Electric', 'Ice']",86.0,76.0,86.0,116.0,56.0,95.0,515.0,"['Yanma', 'Yanmega']",2 stages evolution,Frisk,"['193', '469']"
470,Leafeon,Grass,,1.0,25.5,4.0,25.5,Galarians favor the distinctive aroma that drifts from this Pokémon’s leaves. There’s a popular perfume made using that scent.,"This Pokémon’s tail is blade sharp, with a fantastic cutting edge that can slice right though large trees.",Verdant,Leaf Guard,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",65.0,110.0,130.0,60.0,65.0,95.0,525.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Chlorophyll,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
471,Glaceon,Ice,,0.8,25.9,4.0,40.5,Any who become captivated by the beauty of the snowfall that Glaceon creates will be frozen before they know it.,"The coldness emanating from Glaceon causes powdery snow to form, making it quite a popular Pokémon at ski resorts.",Fresh Snow,Snow Cloak,,"['Fire', 'Steel', 'Fighting', 'Rock']",65.0,60.0,110.0,130.0,95.0,65.0,525.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Ice Body,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
472,Gliscor,Ground,Flying,2.0,42.5,4.0,10.6,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",Its flight is soundless. It uses its lengthy tail to carry off its prey... Then its elongated fangs do the rest.,Fang Scorpion,Sand Veil,Hyper Cutter,['Water'],75.0,95.0,125.0,45.0,75.0,95.0,510.0,"['Gligar', 'Gliscor']",2 stages evolution,Poison Heal,"['207', '472']"
473,Mamoswine,Ice,Ground,2.5,291.0,4.0,46.6,"This Pokémon can be spotted in wall paintings from as far back as 10,000 years ago. For a while, it was thought to have gone extinct.","It looks strong, and that’s exactly what it is. As the weather grows colder, its ice tusks grow longer, thicker, and more impressive.",Twin Tusk,Oblivious,Snow Cloak,"['Steel', 'Fire', 'Grass', 'Water', 'Fighting']",110.0,130.0,80.0,70.0,60.0,80.0,530.0,"['Swinub', 'Piloswine', 'Mamoswine']",3 stages evolution,Thick Fat,"['220', '221', '473']"
474,Porygon-Z,Normal,,0.9,34.0,4.0,42.0,"Porygon-Z had a program installed to allow it to move between dimensions, but the program also caused instability in Porygon-Z’s behavior.","Some say an additional program made this Pokémon evolve, but even academics can’t agree on whether Porygon-Z is really an evolution.",Virtual,Adaptability,Download,['Fighting'],85.0,80.0,70.0,135.0,75.0,90.0,535.0,"['Porygon', 'Porygon2', 'Porygon-Z']",3 stages evolution,Analytic,"['137', '233', '474']"
475,Gallade,Psychic,Fighting,1.6,52.0,4.0,20.3,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone.","Sharply attuned to others’ wishes for help, this Pokémon seeks out those in need and aids them in battle.",Blade,Steadfast,,"['Ghost', 'Fairy', 'Flying']",68.0,125.0,65.0,65.0,115.0,80.0,518.0,"['Ralts', 'Kirlia', ['Gardevoir', 'Gallade']]",3 stages evolution with 2 forms in last stage,Justified,"['280', '281', ['282', '475']]"
476,Probopass,Rock,Steel,1.4,340.0,4.0,173.5,"Although it can control its units known as Mini-Noses, they sometimes get lost and don’t come back.",It uses three small units to catch prey and battle enemies. The main body mostly just gives orders.,Compass,Sturdy,Magnet Pull,['Water'],60.0,55.0,145.0,75.0,150.0,40.0,525.0,"['Nosepass', 'Probopass']",2 stages evolution,Sand Force,"['299', '476']"
477,Dusknoir,Ghost,,2.2,106.6,4.0,22.0,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.","With the mouth on its belly, Dusknoir swallows its target whole. The soul is the only thing eaten—Dusknoir disgorges the body before departing.",Gripper,Pressure,,"['Ghost', 'Dark']",45.0,100.0,135.0,65.0,135.0,45.0,525.0,"['Duskull', 'Dusclops', 'Dusknoir']",3 stages evolution,Frisk,"['355', '356', '477']"
478,Froslass,Ice,Ghost,1.3,26.6,4.0,15.7,"After a woman met her end on a snowy mountain, her regrets lingered on. From them, this Pokémon was born. Its favorite food is frozen souls.",It spits out cold air of nearly −60 degrees Fahrenheit to freeze its quarry. It brings frozen prey back to its lair and neatly lines them up.,Snow Land,Snow Cloak,,"['Steel', 'Ghost', 'Fire', 'Dark', 'Rock']",70.0,80.0,70.0,80.0,70.0,110.0,480.0,"['Snorunt', ['Glalie', 'Froslass']]",2 stages evolution with 2 forms,Cursed Body,"['361', ['362', '478']]"
479,Rotom,Electric,Ghost,0.3,0.3,4.0,3.3,One boy’s invention led to the development of many different machines that take advantage of Rotom’s unique capabilities.,"With a body made of plasma, it can inhabit all sorts of machines. It loves to surprise others.",Plasma,Levitate,,"['Ghost', 'Dark', 'Ground']",50.0,50.0,77.0,95.0,77.0,91.0,440.0,,No evolution,,
480,Uxie,Psychic,,0.3,0.3,4.0,3.3,Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,It is said that its emergence gave humans the intelligence to improve their quality of life.,Knowledge,Levitate,,"['Ghost', 'Dark', 'Bug']",75.0,75.0,130.0,75.0,130.0,95.0,580.0,,No evolution,,
481,Mesprit,Psychic,,0.3,0.3,4.0,3.3,"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",It sleeps at the bottom of a lake. Its spirit is said to leave its body to fly on the lake’s surface.,Emotion,Levitate,,"['Ghost', 'Dark', 'Bug']",80.0,105.0,105.0,105.0,105.0,80.0,580.0,,No evolution,,
482,Azelf,Psychic,,0.3,0.3,4.0,3.3,Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,"It is thought that Uxie, Mesprit, and Azelf all came from the same egg.",Willpower,Levitate,,"['Ghost', 'Dark', 'Bug']",75.0,125.0,70.0,125.0,70.0,115.0,580.0,,No evolution,,
483,Dialga,Steel,Dragon,5.4,683.0,4.0,23.4,A Pokémon spoken of in legend. It is said that time began moving when Dialga was born.,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,Temporal,Pressure,,"['Fighting', 'Ground']",100.0,120.0,120.0,150.0,100.0,90.0,680.0,,No evolution,Telepathy,
484,Palkia,Water,Dragon,4.2,336.0,4.0,19.0,It is said to live in a gap in the spatial dimension parallel to ours. It appears in mythology.,It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.,Spatial,Pressure,,"['Fairy', 'Dragon']",90.0,120.0,100.0,150.0,120.0,100.0,680.0,,No evolution,Telepathy,
485,Heatran,Fire,Steel,1.7,430.0,4.0,148.8,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,"Boiling blood, like magma, circulates through its body. It makes its dwelling place in volcanic caves.",Lava Dome,Flash Fire,,"['Water', 'Fighting']",91.0,90.0,106.0,130.0,106.0,77.0,600.0,,No evolution,Flame Body,
486,Regigigas,Normal,,3.7,420.0,4.0,30.7,"It is said to have made Pokémon that look like itself from a special ice mountain, rocks, and magma.",There is an enduring legend that states this Pokémon towed continents with ropes.,Colossal,Slow Start,,['Fighting'],110.0,160.0,110.0,80.0,110.0,100.0,670.0,,No evolution,,
487,Giratina,Ghost,Dragon,4.5,750.0,4.0,37.0,"This Pokémon is said to live in a world on the reverse side of ours, where common knowledge is distorted and strange.",It was banished for its violence. It silently gazed upon the old world from the Distortion World.,Renegade,Pressure,,"['Ghost', 'Dark', 'Fairy', 'Ice', 'Dragon']",150.0,100.0,120.0,100.0,120.0,90.0,680.0,,No evolution,Telepathy,
488,Cresselia,Psychic,,1.5,85.6,4.0,38.0,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,Those who sleep holding Cresselia’s feather are assured of joyful dreams. It is said to represent the crescent moon.,Lunar,Levitate,,"['Ghost', 'Dark', 'Bug']",120.0,70.0,120.0,75.0,130.0,85.0,600.0,,No evolution,,
489,Phione,Water,,0.4,3.1,4.0,19.4,"When the water warms, they inflate the flotation sac on their heads and drift languidly on the sea in packs.","It drifts in warm seas. It always returns to where it was born, no matter how far it may have drifted.",Sea Drifter,Hydration,,"['Grass', 'Electric']",80.0,80.0,80.0,80.0,80.0,80.0,480.0,,No evolution,,
490,Manaphy,Water,,0.3,1.4,4.0,15.6,It is born with a wondrous power that lets it bond with any kind of Pokémon.,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.,Seafaring,Hydration,,"['Grass', 'Electric']",100.0,100.0,100.0,100.0,100.0,100.0,600.0,,No evolution,,
491,Darkrai,Dark,,1.5,50.5,4.0,22.4,"It chases people and Pokémon from its territory by causing them to experience deep, nightmarish slumbers.",It can lull people to sleep and make them dream. It is active during nights of the new moon.,Pitch-Black,Bad Dreams,,"['Fairy', 'Bug', 'Fighting']",70.0,90.0,90.0,135.0,90.0,125.0,600.0,,No evolution,,
492,Shaymin,Grass,,0.2,2.1,4.0,52.5,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,The blooming of Gracidea flowers confers the power of flight upon it. Feelings of gratitude are the message it delivers.,Gratitude,Natural Cure,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",100.0,100.0,100.0,100.0,100.0,100.0,600.0,,No evolution,,
493,Arceus,Normal,,3.2,320.0,4.0,31.3,"According to the legends of Sinnoh, this Pokémon emerged from an egg and shaped all there is in this world.",It is told in mythology that this Pokémon was born before the universe even existed.,Alpha,Multitype,,['Fighting'],120.0,120.0,120.0,120.0,120.0,120.0,720.0,,No evolution,,
494,Victini,Psychic,Fire,0.4,4.0,5.0,25.0,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.","When it shares the infinite energy it creates, that being’s entire body will be overflowing with power.",Victory,Victory Star,,"['Ghost', 'Water', 'Ground', 'Dark', 'Rock']",100.0,100.0,100.0,100.0,100.0,100.0,600.0,,No evolution,,
495,Snivy,Grass,,0.6,8.1,5.0,22.5,Being exposed to sunlight makes its movements swifter. It uses vines more adeptly than its hands.,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",Grass Snake,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",45.0,45.0,55.0,45.0,55.0,63.0,308.0,"['Snivy', 'Servine', 'Serperior']",3 stages evolution,Contrary,"['495', '496', '497']"
496,Servine,Grass,,0.8,16.0,5.0,25.0,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.","When it gets dirty, its leaves can’t be used in photosynthesis, so it always keeps itself clean.",Grass Snake,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",60.0,60.0,75.0,60.0,75.0,83.0,413.0,"['Snivy', 'Servine', 'Serperior']",3 stages evolution,Contrary,"['495', '496', '497']"
497,Serperior,Grass,,3.3,63.0,5.0,5.8,It only gives its all against strong opponents who are not fazed by the glare from Serperior’s noble eyes.,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.,Regal,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",75.0,75.0,95.0,75.0,95.0,113.0,528.0,"['Snivy', 'Servine', 'Serperior']",3 stages evolution,Contrary,"['495', '496', '497']"
498,Tepig,Fire,,0.5,9.9,5.0,39.6,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,"It loves to eat roasted berries, but sometimes it gets too excited and burns them to a crisp.",Fire Pig,Blaze,,"['Water', 'Ground', 'Rock']",65.0,63.0,45.0,45.0,45.0,45.0,308.0,"['Tepig', 'Pignite', 'Emboar']",3 stages evolution,Thick Fat,"['498', '499', '500']"
